Name,Braid Notation
13a_1306,{-1;-2;-3;4;5;4;6;4;7;-5;4;6;-5;4;3;2;4;1;-3;4;5;4;-6;3;-7;-2;-3;4;5;4;-6;-5;4;3;2;4;4}
13a_1307,{1;-2;1;1;-2;3;3;-2;1;1;1;-2;3}
13a_1308,{-1;2;-3;4;-5;-4;3;2;1;2;-3;2;4;-3;5;2;2;-3;4;4;-3}
13a_1309,{1;-2;-2;-2;3;-2;1;1;-2;3;3;-2;-2}
13a_1310,{1;-2;3;-2;1;1;-2;3;3;-2;1;1;-2}
13a_1311,{-1;2;-3;4;-3;5;2;2;1;-3;4;4;-3;-3;-2;-3;4;-5;-4;-3;2}
13a_1312,{-1;-2;3;-4;-4;-5;4;3;3;-2;1;-2;3;-4;3;5;-4;3;2;3;-4}
13a_1313,{-1;4;2;-3;4;5;4;7;3;6;4;5;4;-2;3;4;-5;-6;-7;-6;4;-5;4;-3;1;-2;3;4;4;-5;6;-5;4;-3;2}
13a_1314,{-1;-5;-4;-4;3;3;-4;3;2;3;3;-4;5;-4;3;-2;3;1;-2;3;4;3;2}
13a_1315,{1;-2;1;1;-2;-2;3;-2;1;1;-2;3;3}
13a_1316,{1;-2;-2;-2;1;3;1;-2;1;1;-2;3;3}
13a_1317,{-1;2;-3;4;-5;4;4;3;-2;1;-3;4;-5;-6;-5;-7;4;-6;-5;4;3;-2;4;5;4;6;3;7;4;5;4;6;-3;2;4}
13a_1318,{-1;3;3;-4;-5;-4;3;2;3;3;-4;3;-2;3;-4;1;-4;-2;5;3;4;3;2}
13a_1319,{-1;3;3;-4;3;2;3;-5;3;-4;3;-2;3;1;-2;3;-4;3;5;3;4;3;2}
13a_1320,{-1;2;-3;2;4;-3;5;2;2;1;-3;-2;4;4;-3;4;-5;-4;-3;2;-3}
13a_1321,{-1;2;2;-3;4;4;-5;-4;-3;-3;2;1;-3;-2;-3;4;-3;5;2;4;-3}
13a_1322,{-1;-4;3;3;-4;3;2;3;-5;3;-4;3;-2;3;1;-4;-2;-3;-4;5;-4;3;2}
13a_1323,{-1;3;3;-4;3;2;3;-5;3;-4;3;-2;3;1;-4;-2;3;-4;5;3;4;3;2}
13a_1324,{-1;2;-3;2;4;-3;5;2;2;1;-3;2;4;4;-3;2;4;-5;-4;3;2}
13a_1325,{-1;2;-3;2;-4;2;5;-3;2;2;1;-3;-2;4;4;-3;4;-5;4;-3;2}
13a_1326,{-1;5;-4;-3;4;-2;-3;4;5;-6;5;-4;-7;5;-6;5;3;-4;2;5;3;1;-4;-2;-3;-4;5;-6;7;5;6;5;4;3;2}
13a_1327,{-1;-2;-3;-4;5;-4;6;3;5;2;4;1;-3;2;-4;3;5;4;5;-6;5;-7;6;5;5;-4;-3;-2;-4;3;5;-4;5;-6;7}
13a_1328,{-1;5;-4;-2;3;-4;5;-4;-3;-4;2;3;-4;5;1;-4;-2;3;-2}
13a_1329,{-1;2;-3;4;-3;5;-2;4;6;1;-3;-5;2;-3;4;-3;-5;-6;-5;7;-4;6;-3;-5;4;-3;-2;-3;-4;-3;5;-6;-7}
13a_1330,{-1;-2;3;-2;-4;1;5;-4;-4;3;2;-4;-3;-4;5;-4;3;-2;-4}
13a_1331,{-1;-2;3;-4;3;5;-6;5;-4;3;2;1;3;3;3;-2;3;4;3;-5;-4;6;3;-7;2;-6;5;-4;3;-4;-5;4;6;-5;7;4;3}
13a_1332,{-1;2;-3;4;5;4;-6;-5;-7;4;6;-8;3;-5;-7;-2;-6;1;-5;4;-3;2;4;5;4;6;-5;7;-6;8;5;7;-9;6;-8;-7;-6;5;4;-3;4;-5;4;6;-5;7;4;8;3;9;-2;3;4}
13a_1333,{-1;4;-3;4;2;5;-3;4;-3;-2;3;1;4;2;-3;4;4;4;-5;4;4;-3;-2}
13a_1334,{-1;5;-4;5;3;-4;-2;-3;6;-4;-7;5;-6;5;4;5;3;-4;2;-3;1;4;2;5;3;6;-4;7;5;-6;5;5;-4;-3;-2}
13a_1335,{-1;-2;3;-2;-4;1;-4;5;-4;-4;3;2;3;-4;3;-5;-4;3;-2}
13a_1336,{-1;2;3;-4;-5;-4;3;-4;-2;3;-4;-4;5;-4;1;-4;-2;3;-2}
13a_1337,{-1;-4;-2;3;-4;-5;-4;3;-4;2;3;-4;-4;5;1;-4;-2;3;-2}
13a_1338,{-1;-7;-6;5;-4;3;-2;-3;4;5;-6;5;-4;5;-6;7;3;-6;-4;5;-4;2;-3;1;4;2;5;3;-4;5;6;5;4;-3;-2}
13a_1339,{-1;2;-3;4;-5;4;-6;-3;5;-7;-3;6;-2;4;1;-3;-5;2;4;-3;-5;-3;-6;-5;7;-4;6;-3;5;-2;-3;-4;-3}
13a_1340,{-1;5;5;-4;-2;3;-4;5;-4;-3;-4;2;5;3;1;-4;-2;3;-2}
13a_1341,{-1;-2;3;-2;-4;3;-5;3;-2;-4;-3;-2;1;-2;3;-2;4;-2;5;3;-4}
13a_1342,{-1;-4;-2;3;-4;-5;-4;3;2;3;3;-4;5;3;1;-4;-2;3;-2}
13a_1343,{-1;-5;-4;3;-4;2;3;-4;-4;5;-4;3;-2;3;1;-4;-2;3;-2}
13a_1344,{-1;-4;3;-4;2;5;3;-4;3;-2;3;-4;-5;-4;1;-4;-2;3;-2}
13a_1345,{-1;-2;3;-2;-4;1;3;5;2;-4;-3;-4;5;-4;3;-2;3;-4;5}
13a_1346,{-1;2;-3;4;-3;5;-2;4;6;1;-3;-5;-2;4;-3;4;-5;-6;-5;7;-4;6;-3;-5;4;-3;2;-3;-4;-3;5;-6;-7}
13a_1347,{-1;-3;4;-5;4;-3;2;-3;4;-3;-2;-3;-3;1;-2;-3;-3;4;5;-3;-4;-3;2}
13a_1348,{-1;-3;4;-3;2;-3;4;-3;-2;5;-3;-4;-3;1;-2;-3;4;-5;-3;4;-3;-3;2}
13a_1349,{-1;4;-3;4;5;4;4;4;-3;2;-3;4;-3;-2;-3;1;-2;3;4;-5;4;-3;2}
13a_1350,{-1;-4;-2;-3;4;7;5;-6;5;-4;5;3;-4;5;6;-7;6;2;5;-3;4;5;-6;5;-4;3;1;-4;-2;3;-4;5;-4;-3;2}
13a_1351,{-1;-4;-2;3;-4;-5;-4;3;2;3;-4;3;-4;5;1;-4;-2;3;-2}
13a_1352,{-1;-2;3;3;-4;5;-4;3;2;3;-4;-5;-4;3;1;-4;-2;3;-2}
13a_1353,{-1;2;-3;4;4;-5;4;6;5;7;4;3;-2;1;3;2;4;-3;4;-5;4;-6;5;4;3;-2;4;4;-3;4;-5;4;6;-7;-6;5;4}
13a_1354,{-1;2;-3;4;4;-5;4;6;4;7;5;4;-6;3;-2;1;3;4;-5;4;-3;-2;4;3;4;5;4;6;-5;-7;4;-6;-3;2;4;5;4}
13a_1355,{-1;-2;3;4;3;-5;-4;3;2;1;3;3;-2;3;4;3;5;3;-4;3;3;3;3;2;3}
13a_1356,{-1;2;-3;4;5;4;-6;3;-7;-2;1;3;-2;4;-3;4;5;4;-6;-5;4;3;2;4;4;-3;4;5;4;6;4;7;-5;4;6;-5;4}
13a_1357,{1;-2;1;1;-2;3;3;-2;-2;-2;1;-2;3}
13a_1358,{1;-2;1;1;-2;3;3;-2;1;-2;1;3;1}
13a_1359,{1;-2;3;-2;1;1;-2;3;3;-2;-2;-2;-2}
13a_1360,{-1;2;-3;4;-3;2;2;1;-3;4;4;-3;-5;4;-3;-2;-3;-4;-3;5;2}
13a_1361,{-1;2;2;-3;4;4;-3;2;-3;4;-5;-4;3;2;1;2;-3;2;4;-3;5}
13a_1362,{1;-2;1;3;1;-2;1;1;-2;3;3;-2;-2}
13a_1363,{-1;2;-3;2;4;-3;2;2;1;-3;-2;4;4;-3;-5;4;-3;2;-3;-4;5}
13a_1364,{-1;-2;3;4;3;3;-2;-2;-2;1;-2;3;-4;3;5;-4;3;2;3;-4;-5}
13a_1365,{-1;3;-4;-2;3;-4;5;-4;3;3;2;3;3;3;1;-4;-2;3;-4;-5;-4;-3;2}
13a_1366,{-1;2;-3;4;-5;4;6;-5;7;4;3;-2;4;1;-3;-5;-6;-5;4;-3;-2;-3;-4;5;4;6;-7;-6;5;4;4;-3;2}
13a_1367,{-1;4;5;-6;7;-5;-6;4;-5;-3;4;2;-5;-3;4;-5;6;-5;-4;-5;3;4;4;-2;3;1;-2;-7;3;6;4;-5;4;-3;2}
13a_1368,{1;-2;1;3;1;1;1;-2;1;1;-2;3;3}
13a_1369,{-1;2;3;2;1;2;-3;2;4;-3;5;2;2;-3;2;4;4;-3;4;-5;-4}
13a_1370,{-1;2;3;-4;3;3;-4;-5;-4;3;-2;3;-4;5;1;-4;-2;3;-2}
13a_1371,{-1;4;5;3;-4;5;6;5;-4;2;-3;-4;7;5;-6;5;5;4;3;-2;5;-3;-4;5;1;6;-2;-7;3;-6;-4;5;-4;-3;2}
13a_1372,{-1;-2;-2;-2;3;-2;-4;3;-2;-4;1;-5;-4;3;2;3;4;3;5;3;-2}
13a_1373,{-1;-2;-3;-4;-3;5;4;6;-3;-5;-7;2;-6;1;-5;4;3;4;5;4;6;4;7;-3;-2;-3;4;-5;-6;-5;4;-3;2}
13a_1374,{-1;-2;3;-2;-4;-2;-5;-4;3;-2;1;3;2;3;4;3;5;3;-2;3;-4}
13a_1375,{1;-2;3;-2;4;1;3;-2;3;-4;3;5;-2;-4;3;-4;-5}
13a_1376,{-1;-2;-2;-2;-2;3;-2;-2;-2;3;-2;1;-2;3;-2}
13a_1377,{-1;-3;4;-5;4;-3;2;-3;4;-3;-2;-3;-3;-3;-3;1;4;2;5;-3;-4;-3;-2}
13a_1378,{-1;2;-3;4;-3;-2;5;-3;-4;-3;1;-2;-3;4;-5;-3;4;-3;-3;-3;4;-3;2}
13a_1379,{-1;-7;6;-4;-5;-4;-3;-4;5;-6;-4;-2;7;5;3;6;-4;-5;-4;-3;-4;5;-6;5;-4;2;3;1;-2;3;-4;5;-4;-3;2}
13a_1380,{-1;-5;-4;3;-2;3;3;-4;5;3;-4;3;2;3;1;-4;-2;3;-2}
13a_1381,{-1;-5;-4;-2;3;-2;3;-4;5;3;4;3;-2;3;1;-4;-2;3;-2}
13a_1382,{-1;-2;-3;4;-5;6;-5;7;4;-3;-5;2;-6;1;-5;4;3;2;4;5;4;6;-3;-7;4;-6;5;4;3;-2;4;-3;4}
13a_1383,{-1;-2;-2;-2;-2;3;3;-2;3;-2;-2;1;-2;3;-2}
13a_1384,{-1;-5;-3;4;4;-3;4;-3;-3;2;-3;4;5;-3;-4;-2;-3;1;2;-3;4;-3;-2}
13a_1385,{-1;-5;-4;3;-2;3;3;-4;5;3;4;3;-2;3;1;-4;-2;3;-2}
13a_1386,{-1;-5;-2;-4;-2;3;-4;-2;5;3;4;3;-2;3;1;-4;-2;3;-2}
13a_1387,{-1;2;-3;2;4;2;-5;2;1;-3;-3;4;-3;2;-3;4;5;4;4;3;-2}
13a_1388,{-1;2;3;-4;5;6;5;7;5;4;-6;-3;-5;-2;4;1;3;2;3;-4;3;5;-2;-4;6;3;5;-7;-4;-6;-4;5;-4}
13a_1389,{-1;2;-3;4;-5;6;-7;-6;5;4;4;3;-2;1;3;4;-5;6;-5;7;-5;-5;4;-3;-2;4;3;-5;4;-6;5;4;-3;2;4}
13a_1390,{-1;-2;3;-4;3;3;3;3;2;1;3;-2;-4;-4;3;-5;4;3;3;2;3;-4;5}
13a_1391,{-1;2;-3;4;5;4;4;3;-2;4;1;-3;-5;-2;4;6;5;7;4;3;4;-5;6;-5;4;-3;2;4;3;4;-5;-5;-6;-7;-6}
13a_1392,{-1;-2;3;-4;-4;-4;3;3;2;1;3;-2;-4;-4;3;-5;4;3;3;2;3;-4;5}
13a_1393,{-1;-2;3;4;5;-6;7;-6;8;5;9;-4;-3;5;2;4;1;-3;4;-5;-6;-7;-6;8;5;-4;-6;3;5;-7;2;6;5;-4;3;5;-4;5;-6;7;-8;7;-9;-8;-7;6;5;5;4;-3;-2}
13a_1394,{-1;4;-3;-2;-3;4;4;4;-5;-3;4;2;-3;1;4;-2;3;4;4;5;4;-3;2}
13a_1395,{-1;2;-3;4;-3;-5;4;-3;-2;1;-3;2;-3;4;-3;5;-2;-3;4;4;-3}
13a_1396,{-1;2;2;3;2;-4;-3;-5;2;4;2;2;1;-3;2;-3;-4;3;5;2;4;-3;2;2;2}
13a_1397,{-1;-2;3;-2;-4;-2;-5;3;-4;-3;-2;1;-2;3;-2;4;-2;5;3;3;-4}
13a_1398,{-1;2;-3;4;-3;-2;3;4;-5;4;-3;1;4;2;-3;4;4;4;4;5;4;-3;-2}
13a_1399,{-1;-2;-3;4;5;-6;5;-4;5;3;-4;2;5;-3;-4;7;5;-6;5;4;5;6;-7;6;5;3;1;-4;-2;3;-4;5;-4;-3;2}
13a_1400,{-1;2;-3;-3;4;4;-3;2;1;-2;-3;4;-3;-5;-3;-4;-3;2;-3;4;5}
13a_1401,{-1;-5;4;-3;2;-3;4;5;4;-3;-2;-3;1;2;2;-3;4;-3;2}
13a_1402,{-1;-5;-4;-4;3;-4;-4;-2;3;-4;5;-4;3;2;3;3;1;-2;3;3;4;3;2}
13a_1403,{-1;4;2;-3;4;7;5;6;4;-5;4;4;3;4;-2;-3;4;5;-6;-7;-6;-5;4;3;1;-2;3;4;4;-5;6;-5;4;-3;2}
13a_1404,{-1;3;2;3;3;4;-5;3;-4;-4;-2;3;1;-2;3;3;-4;5;3;-4;3;3;2}
13a_1405,{-1;3;2;3;3;4;-5;-4;3;-4;-4;-2;3;1;-2;3;-4;5;3;-4;3;3;2}
13a_1406,{-1;-5;-4;3;3;-4;-4;3;2;3;3;-4;5;-4;3;-2;3;1;-2;3;4;3;2}
13a_1407,{-1;-2;-3;4;-5;4;6;-3;-5;2;4;1;3;-2;4;-3;5;4;-6;5;-7;-6;5;4;4;-3;2;-3;4;-5;4;6;7}
13a_1408,{-1;2;3;4;3;3;-2;1;3;3;2;3;-4;5;-4;-4;-4;3;-2;-4;-4;3;-5}
13a_1409,{-1;2;-3;4;-5;4;6;-5;7;4;3;-2;4;1;-3;5;4;-6;-5;4;-3;-2;-3;4;5;6;-7;-6;5;4;4;-3;2}
13a_1410,{-1;2;-3;4;5;4;4;3;-2;4;1;3;-2;4;4;-3;-5;-4;6;-5;-7;6;-5;4;3;2;4;-3;-5;4;-6;-5;7;-5;-6}
13a_1411,{-1;2;-3;4;5;4;-3;-3;-2;1;-3;-3;-2;4;4;-3;-5;4;-3;2;-3}
13a_1412,{-1;4;5;4;-3;2;-3;4;-5;4;-3;-2;-3;1;2;4;2;-3;2}
13a_1413,{-1;2;3;-4;-5;4;6;3;5;7;-4;3;3;3;-2;1;3;3;4;3;-5;-4;6;-5;4;3;-2;3;-4;3;5;2;-6;-7;-6;5;-4}
13a_1414,{-1;-2;-3;-3;-3;4;-3;4;-5;4;-3;2;4;1;-3;-2;-3;4;-3;5;2;4;3}
13a_1415,{-1;2;-3;-4;5;-4;6;3;5;-2;4;1;-3;5;2;-4;5;-6;5;-7;-4;3;5;-4;6;5;-4;-3;-2;-4;3;-5;-4;-6;7}
13a_1416,{-1;-2;3;3;3;-2;-4;3;-2;-4;1;-5;-4;3;2;3;4;3;5;3;-2}
13a_1417,{-1;4;-3;4;-3;4;-3;2;-5;-3;4;-3;-2;-3;1;4;-2;-3;4;5;4;3;2}
13a_1418,{-1;-3;4;-5;4;-3;2;-3;4;-3;-2;-3;1;-2;-3;-3;-3;4;5;-3;-4;-3;2}
13a_1419,{-1;-4;-7;-3;6;-4;-5;-4;2;3;-4;5;-6;7;5;6;-4;-5;-4;-3;-2;3;-4;5;-6;5;1;-4;-2;3;-4;5;-4;-3;2}
13a_1420,{-1;4;-3;4;4;5;4;-3;2;-3;4;-3;-2;-3;-3;1;-2;3;4;-5;4;-3;2}
13a_1421,{-1;-2;3;-2;-4;3;-5;-4;3;-2;3;-2;-2;1;-2;3;4;3;5;2;-4}
13a_1422,{-1;-2;-3;4;-3;5;4;6;-7;-6;-5;4;-3;2;4;1;-3;4;5;4;6;3;-5;7;-2;-3;4;-5;-6;-5;-4;-3;2}
13a_1423,{-1;2;-3;4;-3;-5;2;1;-3;2;-3;4;-3;2;-3;-4;-3;5;-4;-3;2}
13a_1424,{-1;-4;3;-2;3;-4;-5;3;-4;3;2;3;-4;5;1;-4;-2;3;-2}
13a_1425,{-1;4;-3;-2;-3;4;4;4;-3;2;-5;-3;4;-3;1;-2;3;4;4;5;4;-3;2}
13a_1426,{-1;-2;3;-2;-4;3;-2;1;-2;3;3;4;3;5;2;-4;3;-4;-4;-4;-5}
13a_1427,{-1;-2;-3;4;-3;-5;4;-3;2;1;-3;2;4;4;5;4;6;3;-7;6;-5;-4;-5;-6;-5;7;4;-3;-2;3;4;-5;-6}
13a_1428,{-1;-2;3;4;3;5;3;6;-4;3;5;-4;3;-4;3;-5;2;-6;1;3;-7;4;3;-5;-4;-6;-5;4;3;-2;3;-4;3;5;2;6;7}
13a_1429,{-1;2;-3;4;-5;4;6;3;7;-2;1;-3;-2;4;3;4;5;4;6;-5;4;-3;2;4;4;3;4;-5;-5;-6;-5;-7;-6;5;4}
13a_1430,{-1;2;-3;4;-5;4;6;3;-2;1;-3;-2;4;3;-5;4;-5;-6;-7;6;-5;-5;-4;-3;-5;2;4;4;3;4;-5;-6;5;7;4}
13a_1431,{-1;2;-3;4;-5;6;-5;-5;-5;4;4;3;-2;1;3;4;-5;-6;-7;-6;5;4;-3;-2;4;-3;-5;4;6;5;7;4;3;2;4}
13a_1432,{-1;2;3;4;3;3;3;3;-2;1;3;3;2;3;-4;5;-4;3;-2;-4;-4;3;-5}
13a_1433,{-1;2;3;4;-5;6;-5;4;-3;-5;-2;-5;1;4;-6;3;-7;-2;4;5;-6;5;4;3;4;-5;4;6;-3;7;2;4;-3;4;4}
13a_1434,{-1;-5;3;-4;-2;3;3;-4;3;-4;5;-4;3;2;3;3;1;-2;3;3;4;3;2}
13a_1435,{-1;2;-3;4;-5;4;6;3;7;-2;1;-3;-2;4;5;4;6;4;-3;-5;4;-3;2;-3;4;5;4;-6;-5;-7;-6;5;4}
13a_1436,{-1;2;-3;4;5;6;5;5;-4;3;5;-2;5;1;4;3;5;2;4;5;5;-6;5;-7;-4;6;3;5;-4;5;-6;5;7;4;-3;-2;-3;-4;5}
13a_1437,{-1;-2;3;4;5;6;5;-4;-3;5;2;4;-6;1;-3;7;-4;8;-5;9;-6;-7;-6;8;5;4;-6;3;5;-7;2;6;5;-4;3;5;-4;5;-6;7;-8;7;-9;-6;-8;5;-7;5;4;-3;-2}
13a_1438,{-1;-2;-2;3;-2;1;-2;3;4;3;5;3;-4;3;3;-2;3;4;3;-5;-4}
13a_1439,{-1;2;-3;-4;5;-4;6;3;5;-2;4;1;-3;-2;-4;5;-4;3;-4;5;-6;5;7;6;5;4;-3;5;2;-4;-6;3;5;-7;-4}
13a_1440,{-1;-2;3;3;4;3;-5;-4;6;3;-7;2;-6;1;5;-4;3;-4;-5;4;6;-5;7;4;3;-2;3;-4;3;5;2;-6;5;-4;3;3;3}
13a_1441,{-1;2;-3;4;-5;4;6;3;7;-2;8;1;-3;9;4;-5;4;6;-5;7;-6;8;-5;7;4;6;4;3;-2;3;4;5;4;-3;2;4;-5;-6;5;-7;4;6;-8;-5;-7;-9;-6;-8;5;-7;-6;5;4}
13a_1442,{-1;-2;3;4;5;4;6;-3;-5;2;4;1;3;-5;-2;-5;-3;-6;4;-7;-3;-5;2;6;-5;4;-3;4;-5;-6;7}
13a_1443,{-1;2;-3;2;-3;-4;3;-5;2;4;-1;-3;2;-3;-4;-3;5;2;4;-3;2}
13a_1444,{-1;2;-3;-4;3;-5;2;4;-1;-3;2;-3;-4;-3;5;2;4;-1;-3;2;-3}
13a_1445,{-1;-2;-3;4;-3;-5;4;6;-3;-5;7;2;-6;1;-5;4;3;2;4;5;4;6;4;-7;-3;4;-5;-6;5;4;3;-2;-3}
13a_1446,{-1;2;-3;2;4;-3;-5;2;4;1;-3;2;-3;-4;-3;5;-4;-3;2;-3;2}
13a_1447,{-1;2;3;4;5;4;6;4;7;-3;-2;1;-3;4;-3;-5;-6;-5;4;-3;-2;-3;-4;5;4;6;-3;-5;-7;2;-6;-5;4}
13a_1448,{-1;2;-3;-4;-3;5;-4;3;2;2;-1;2;-3;2;4;-1;-3;-5;2;4;-3}
13a_1449,{-1;2;-3;4;-3;-5;2;1;2;-3;4;-3;2;-3;-4;-3;5;-4;-3;2;-3}
13a_1450,{-1;-3;4;-5;4;-3;2;-3;4;-3;-2;-3;-3;-3;1;-2;-3;4;5;-3;-4;-3;2}
13a_1451,{-1;6;-4;-5;-4;7;-3;6;-4;-5;-4;2;3;-4;5;-6;-7;5;-6;-4;5;-4;5;-3;-4;-2;3;1;-2;3;-4;5;-4;-3;2}
13a_1452,{-1;4;5;-3;4;-3;2;-3;4;-3;-2;-3;-3;-3;-3;1;-2;3;4;-5;4;-3;2}
13a_1453,{-1;-4;2;-3;4;5;-6;7;5;-6;-4;-5;3;-4;-2;-3;-4;5;6;-4;-7;5;6;-4;5;-4;3;1;-2;3;-4;5;-4;-3;2}
13a_1454,{-1;-2;3;-2;-4;3;-5;-4;3;3;3;-2;1;3;-2;3;4;3;5;2;-4}
13a_1455,{-1;2;3;4;5;4;-3;-2;4;1;-3;-5;4;-6;-3;-5;-7;4;6;-3;-5;2;4;-3;4;-5;-6;5;7;4;6;3;-2}
13a_1456,{-1;-5;-4;-4;3;-4;-2;3;-4;5;3;-4;3;2;3;3;1;-2;3;3;4;3;2}
13a_1457,{-1;2;-3;-3;-3;-3;-3;2;2;1;2;-3;2;2;2}
13a_1458,{-1;2;-3;-4;-5;-4;3;-2;-4;1;5;-4;3;3;2;3;-4;3;3;3;-2;3;-4}
13a_1459,{-1;2;-3;-3;-3;2;2;1;2;-3;-3;-3;2;2;2}
13a_1460,{-1;2;-3;-4;-5;-4;3;-2;-4;1;3;5;3;3;-2;3;-4;-4;-4;3;3;2;3}
13a_1461,{-1;-2;3;-4;-5;-6;-5;7;4;-3;2;-4;1;-5;-6;-5;4;-3;-5;2;4;6;4;-7;4;6;-3;4;-5;4;4;3;-2;4;3}
13a_1462,{-1;3;4;2;5;-3;4;-3;-2;-3;1;4;2;-3;4;-5;-3;4;-3;-3;-3;-3;-2}
13a_1463,{-1;7;-6;-4;-5;3;-4;-2;-3;-4;5;6;-4;5;-4;-7;5;-6;-4;5;3;-4;2;-3;1;4;-2;5;3;6;-4;5;-4;-3;2}
13a_1464,{-1;2;-3;2;4;-3;5;-4;-3;2;2;2;2;1;2;3;2;4;-3;-5;-4;3;2;2;2}
13a_1465,{-1;2;3;4;3;5;-4;6;-5;4;3;3;3;-2;1;3;-4;3;5;-4;-6;-5;-7;-4;-6;3;5;-4;3;-2;3;4;3;-5;2;6;7}
13a_1466,{-1;2;-1;-3;-1;-1;-1;2;-1;-3;-1;-1;-1}
13a_1467,{-1;-2;-3;-2;4;3;5;-2;-4;-2;-2;-2;3;-2;-4;1;-5;-2;-4;3;-2}
13a_1468,{-1;-2;-3;-2;4;-2;5;-2;-2;-2;3;-2;-4;1;-2;3;-4;-5;-4;3;-2}
13a_1469,{-1;2;-3;4;-3;-2;1;-3;-4;-3;-5;-6;5;-7;4;6;-3;-5;2;-3;4;-5;-6;-5;7;4;6;-3;-2;-3;-4;-3;5}
13a_1470,{-1;2;-3;2;4;-1;-3;-1;-1;2;-3;-4;3;5;2;4;-3;2;-3;-4;-5}
13a_1471,{-1;-2;-2;-2;3;-4;-5;-4;-3;-2;1;-2;3;-2;4;-2;5;-2;-2;3;-4}
13a_1472,{-1;-2;-3;-4;-3;5;4;-6;-3;5;-7;2;6;1;-3;2;4;-3;-5;-3;-3;4;-5;-6;-5;7;-4;6;-3;-5;-2;4;-3}
13a_1473,{-1;2;-3;-3;-4;3;-5;2;4;-1;-3;2;-3;-4;-3;5;2;4;-3;2;-3}
13a_1474,{-1;-2;3;-4;-5;4;6;3;5;-7;-4;6;3;-4;-5;-4;3;-2;1;-2;-3;-2;4;3;5;-6;-5;7;-4;-6;3;5;-4}
13a_1475,{-1;-2;-3;-4;-3;2;1;-3;4;-5;4;-6;-3;5;-7;-3;6;-3;-3;-2;4;-3;-5;4;-5;-6;-5;7;-4;6;-3;5;2}
13a_1476,{-1;2;-3;-4;5;-6;-7;-6;8;-5;7;-9;-4;6;-8;3;-7;-2;1;3;-4;-5;-4;-6;-3;5;-2;-4;-3;-4;-5;-4;6;5;7;-6;8;5;-7;9;-4;6;-8;3;7;2;-4;5;-6}
13a_1477,{-1;2;-3;4;-3;-5;2;4;1;-3;2;-3;-4;-3;5;-4;-3;2;-3;2;-3}
13a_1478,{-1;2;-1;-3;-1;-1;2;2;-1;2;-1;-3;-1}
13a_1479,{-1;-2;3;-4;-5;-4;-3;-2;1;-2;3;-2;4;-2;5;-2;3;3;-2;3;-4}
13a_1480,{-1;-3;-3;-4;-3;-3;2;-5;-3;4;-3;-2;-3;1;4;-2;-3;4;5;-3;4;-3;2}
13a_1481,{-1;2;-1;-3;-1;-1;2;2;2;2;-1;2;-3}
13a_1482,{-1;-2;3;-2;-4;3;-2;-4;-2;-5;-2;-4;1;3;-2;3;4;3;5;2;3}
13a_1483,{-1;4;-3;4;-2;-3;4;4;-5;4;-3;2;-3;1;4;-2;3;4;4;5;4;-3;2}
13a_1484,{-1;4;-3;-2;-3;-3;4;-5;-3;4;-3;2;-3;1;4;-2;3;4;4;5;4;-3;2}
13a_1485,{-1;-3;4;-3;4;-2;3;4;5;4;4;-3;4;2;-3;1;2;-3;4;-5;4;-3;-2}
13a_1486,{-1;2;-3;-3;2;2;-3;2;1;2;2;-3;-3;-3;2}
13a_1487,{-1;2;-3;-3;2;2;-3;-3;-3;2;1;2;2;-3;2}
13a_1488,{-1;3;2;3;3;-4;3;-2;3;-4;-4;3;5;3;1;-4;-2;3;-4;-5;-4;-3;2}
13a_1489,{-1;3;2;3;3;-4;3;-2;5;3;-4;-4;3;3;1;-4;-2;3;-4;-5;-4;-3;2}
13a_1490,{-1;3;4;2;5;-3;4;-3;-2;-3;1;4;2;-3;4;-5;4;4;-3;4;-3;-3;-2}
13a_1491,{-1;-2;3;-4;3;5;-6;5;-4;3;3;3;2;1;3;-2;3;4;3;-5;-4;6;3;-7;2;-6;5;-4;3;-4;-5;4;6;-5;7;4;3}
13a_1492,{-1;2;-3;4;-5;-6;5;-7;4;-6;8;-5;-7;4;6;3;-5;-2;4;1;-5;-6;5;7;6;-8;7;-9;-8;-7;-6;5;4;-3;2;4;-5;4;6;-5;7;4;6;8;-3;9;4;5;4;3;-2;3;4}
13a_1493,{-1;4;7;5;3;-6;-4;2;5;-3;4;5;6;-7;5;-6;5;-4;5;3;-4;-2;5;-3;1;-4;-2;5;3;6;-4;5;-4;-3;2}
13a_1494,{-1;-2;-3;-2;4;-2;5;-2;3;-2;-4;1;-2;3;-2;-4;-2;-5;-4;3;-2}
13a_1495,{-1;-2;-3;-4;-3;5;4;-6;-3;5;-7;2;6;1;-3;4;-3;-5;-3;2;-3;4;-5;-6;-5;7;-4;6;-3;-5;-2;4;-3}
13a_1496,{-1;2;-3;4;-5;4;3;-2;1;3;-2;-3;4;-3;-5;2;-5;-5;4;-3;4;-5;4}
13a_1497,{-1;2;-3;-4;5;-4;-6;3;5;-2;-4;1;-3;5;2;4;5;-6;5;-7;6;5;-4;3;5;-4;5;-6;5;7;4;-3;-2;3;4}
13a_1498,{-1;2;2;-3;2;-4;-3;-5;2;4;-1;-3;2;-3;-4;3;5;2;4;-3;2}
13a_1499,{-1;-2;-3;-4;-3;5;4;-6;-3;5;-7;2;6;1;-3;-2;4;-3;-5;4;-5;-6;-5;7;-4;6;-3;-5;2;-3;-3;4;-3}
